hit_id,subject_id,article_name,category,role,age_days,art_country,art_dob,art_passport,source_reliability,label,fp_category
AMHIT-0000000,SUBJ-000028,MARIA GARCIA,money_laundering,perpetrator,50,,,,1.0,0,common_name_ambiguous
AMHIT-0000001,SUBJ-000095,ANNA MULLER,non_adverse,mentioned,296,,,,1.0,0,not_adverse
AMHIT-0000002,SUBJ-000059,KWAME KREADZE,non_adverse,mentioned,357,,,,1.0,0,not_adverse
AMHIT-0000003,SUBJ-000034,RACHEL DRAVSTEIN,non_adverse,mentioned,261,,,,1.0,0,not_adverse
AMHIT-0000004,SUBJ-000076,SVEN DRAVMANN,non_adverse,mentioned,25,,,,1.0,0,not_adverse
AMHIT-0000005,SUBJ-000077,KWAME TASHADZE,negative_general,perpetrator,2252,,,,1.0,0,stale_immaterial
AMHIT-0000006,SUBJ-000090,LI WANG,sanctions_evasion,perpetrator,30,,,,1.0,0,common_name_ambiguous
AMHIT-0000007,SUBJ-000034,RACHEL DRAVSTEIN,sanctions_evasion,victim,400,,,,1.0,0,low_role
AMHIT-0000008,SUBJ-000083,PRIYA SEVADZE,non_adverse,mentioned,231,,,,1.0,0,not_adverse
AMHIT-0000009,SUBJ-000074,RACHEL QOMADZE,organized_crime,perpetrator,670,,1981-02-16,,1.0,0,wrong_entity
AMHIT-0000010,SUBJ-000085,PRIYA MORKOVSKY,non_adverse,mentioned,58,,,,1.0,0,not_adverse
AMHIT-0000011,SUBJ-000088,JOHN SMITH,non_adverse,mentioned,258,,,,1.0,0,not_adverse
AMHIT-0000012,SUBJ-000113,MOHAMMED ALI,sanctions_evasion,perpetrator,38,,,,1.0,0,common_name_ambiguous
AMHIT-0000013,SUBJ-000041,INGRID QOMSTEIN,non_adverse,mentioned,64,,,,1.0,0,not_adverse
AMHIT-0000014,SUBJ-000065,MOHAMMED ALI,non_adverse,mentioned,5,,,,1.0,0,not_adverse
AMHIT-0000015,SUBJ-000052,LI WANG,non_adverse,mentioned,32,,,,1.0,0,not_adverse
AMHIT-0000016,SUBJ-000096,SVEN DRAVENKO,non_adverse,mentioned,260,,,,1.0,0,not_adverse
AMHIT-0000017,SUBJ-000026,KWAME VOLADZE,negative_general,perpetrator,3324,,,,1.0,0,stale_immaterial
AMHIT-0000018,SUBJ-000112,JOHN SMITH,organized_crime,perpetrator,144,,1951-11-20,,1.0,0,wrong_entity
AMHIT-0000019,SUBJ-000039,SVEN ZARKOVSKY,litigation_civil,perpetrator,3331,,,,1.0,0,stale_immaterial
AMHIT-0000020,SUBJ-000107,TARIQ VOLADZE,money_laundering,perpetrator,492,,1957-11-27,,1.0,0,wrong_entity
AMHIT-0000021,SUBJ-000080,WEI CHEN,corruption_bribery,perpetrator,232,,,,1.0,0,common_name_ambiguous
AMHIT-0000022,SUBJ-000075,MOHAMMED ALI,sanctions_evasion,perpetrator,94,,,,1.0,0,common_name_ambiguous
AMHIT-0000023,SUBJ-000112,JOHN SMITH,fraud,perpetrator,462,,,,1.0,0,common_name_ambiguous
AMHIT-0000024,SUBJ-000109,WEI CHEN,negative_general,perpetrator,2896,,,,1.0,0,stale_immaterial
AMHIT-0000025,SUBJ-000105,MOHAMMED ALI,non_adverse,mentioned,6,,,,1.0,0,not_adverse
AMHIT-0000026,SUBJ-000075,MOHAMMED ALI,sanctions_evasion,perpetrator,695,,1981-03-15,,1.0,0,wrong_entity
AMHIT-0000027,SUBJ-000070,KWAME KREOPOULOS,non_adverse,mentioned,395,,,,1.0,0,not_adverse
AMHIT-0000028,SUBJ-000041,INGRID QOMSTEIN,non_adverse,mentioned,101,,,,1.0,0,not_adverse
AMHIT-0000029,SUBJ-000049,MOHAMMED ALI,fraud,perpetrator,440,,1952-06-24,,1.0,0,wrong_entity
AMHIT-0000030,SUBJ-000064,MOHAMMED ALI,fraud,perpetrator,273,,,,1.0,0,common_name_ambiguous
AMHIT-0000031,SUBJ-000075,MOHAMMED ALI,corruption_bribery,perpetrator,122,,1978-02-17,,1.0,0,wrong_entity
AMHIT-0000032,SUBJ-000018,RACHEL SEVOGLU,organized_crime,perpetrator,690,,1959-02-16,,1.0,0,wrong_entity
AMHIT-0000033,SUBJ-000079,ANNA MULLER,organized_crime,perpetrator,685,,1955-06-28,,1.0,0,wrong_entity
