subject_id,name,entity_type,name_class,country,dob
SUBJ-000000,DMITRI TASHADZE,INDIVIDUAL,distinctive,RU,1958-12-04
SUBJ-000001,RACHEL MORMANN,INDIVIDUAL,distinctive,US,1951-02-07
SUBJ-000002,JOHN SMITH,INDIVIDUAL,common,SG,1962-12-21
SUBJ-000003,PRIYA KREOPOULOS,INDIVIDUAL,distinctive,ZA,1967-01-25
SUBJ-000004,PRIYA BUROGLU,INDIVIDUAL,distinctive,DE,1963-06-04
SUBJ-000005,MARIA GARCIA,INDIVIDUAL,common,NG,1972-10-09
SUBJ-000006,KWAME SEVSTEIN,INDIVIDUAL,distinctive,IN,1955-09-10
SUBJ-000007,SVEN MORADZE,INDIVIDUAL,distinctive,GB,1952-11-08
SUBJ-000008,RACHEL KRESTEIN,INDIVIDUAL,distinctive,IN,1967-08-21
SUBJ-000009,OLUWASEUN BURSSON,INDIVIDUAL,distinctive,RU,1992-05-23
SUBJ-000010,RACHEL MORENKO,INDIVIDUAL,distinctive,SG,1965-03-15
SUBJ-000011,MOHAMMED ALI,INDIVIDUAL,common,NG,1953-04-27
SUBJ-000012,ANNA MULLER,INDIVIDUAL,common,IN,1967-02-07
SUBJ-000013,SVEN KREOPOULOS,INDIVIDUAL,distinctive,IN,1991-08-05
SUBJ-000014,MOHAMMED ALI,INDIVIDUAL,common,SG,1984-05-24
SUBJ-000015,PRIYA BURADZE,INDIVIDUAL,distinctive,DE,1982-08-03
SUBJ-000016,RACHEL NORENKO,INDIVIDUAL,distinctive,IN,1988-02-13
SUBJ-000017,LI WANG,INDIVIDUAL,common,SG,1966-09-28
SUBJ-000018,RACHEL SEVOGLU,INDIVIDUAL,distinctive,NG,1957-05-14
SUBJ-000019,JOHN SMITH,INDIVIDUAL,common,AE,1982-03-17
SUBJ-000020,TARIQ SEVADZE,INDIVIDUAL,distinctive,DE,1973-03-18
SUBJ-000021,DMITRI MORSSON,INDIVIDUAL,distinctive,BR,1951-02-12
SUBJ-000022,TARIQ KREKOVSKY,INDIVIDUAL,distinctive,RU,1986-02-03
SUBJ-000023,RACHEL SEVENKO,INDIVIDUAL,distinctive,DE,1992-08-18
SUBJ-000024,JOSE GONZALEZ,INDIVIDUAL,common,RU,1984-12-23
