record_id,customer_id,full_name,entity_type,dob,country,national_id,account_prefix,onboarding_date,status,last_refresh,label,category
REC-0000000,CUS-0000000,RENÉE DA-COSTA,INDIVIDUAL,1977-10-26,IT,HV00000017,IT-42,2012-03-29,DORMANT,2025-11-02,0,clean_edge
REC-0000001,CUS-0000001,OMAR MULLER,INDIVIDUAL,1998-06-21,ES,HV00000024,ES-15,2011-01-11,ACTIVE,2026-02-24,0,clean
REC-0000002,CUS-0000002,CARLOS NAKAMURA,INDIVIDUAL,1951-04-29,US,HV00000031,US-70,2019-12-08,ACTIVE,2025-09-15,0,clean
REC-0000003,CUS-0000003,NORTHGATE MARINE SUPPLY LLC,ENTITY,,MX,HV00000048,MX-87,2021-09-09,ACTIVE,2026-05-03,0,clean
REC-0000004,CUS-0000004,AISHA DUBOIS,INDIVIDUAL,1942-04-21,SG,HV00000055,SG-49,2012-12-23,ACTIVE,2025-07-05,0,clean_edge
REC-0000005,CUS-0000005,PINNACLE FREIGHT LTD,ENTITY,,AE,HV00000062,AE-99,2007-09-15,ACTIVE,2026-04-30,0,clean
REC-0000006,CUS-0000006,MARIA SCHMIDT,INDIVIDUAL,1987-10-17,NO,HV00000079,NO-64,2023-07-22,ACTIVE,2026-05-26,0,clean
REC-0000007,CUS-0000007,LENA FERREIRA,INDIVIDUAL,1983-12-23,NL,HV00000086,NL-23,2006-04-14,ACTIVE,2025-12-27,0,clean
REC-0000008,CUS-0000008,ALEKSANDR AL-RASHID,INDIVIDUAL,1979-01-26,DK,HV00000093,DK-32,2016-04-24,ACTIVE,2026-02-12,0,clean
REC-0000009,CUS-0000009,YUSUF MORETTI,INDIVIDUAL,1981-09-14,LU,HV00000106,LU-65,2018-01-26,ACTIVE,2023-08-05,0,stale_refresh
REC-0000010,CUS-0000010,NORTHGATE COMPONENTS LLC,ENTITY,,DK,HV00000113,DK-69,2007-12-11,ACTIVE,2025-12-18,0,clean
REC-0000011,CUS-0000011,FATIMA IVANOV,INDIVIDUAL,1900-01-01,IN,HV00000120,IN-37,2025-02-01,ACTIVE,2026-02-18,0,clean_edge
REC-0000012,CUS-0000012,DIEGO HANSSON,INDIVIDUAL,1989-11-11,IE,HV00000137,IE-11,2021-09-23,ACTIVE,2026-03-25,0,clean
REC-0000013,CUS-0000013,SUMMIT LOGISTICS LTD,ENTITY,1973-03-13,PT,HV00000144,PT-98,2015-02-12,ACTIVE,2025-10-22,0,entity_dob_conflict
REC-0000014,CUS-0000014,JOHAN NGUYEN,INDIVIDUAL,1992-03-04,PL,HV00000151,PL-57,2011-06-17,ACTIVE,2025-10-02,0,clean
REC-0000015,CUS-0000015,FATIMA SCHMIDT,INDIVIDUAL,2003-01-21,PT,HV00000168,PT-68,2018-05-06,ACTIVE,2026-02-22,0,clean
REC-0000016,CUS-0000016,FATIMA TANAKA,INDIVIDUAL,1988-01-28,PT,HV00000175,PT-98,2010-04-27,ACTIVE,2026-03-12,0,clean
REC-0000017,CUS-0000017,VIKTOR ANDERSEN,INDIVIDUAL,1987-01-25,AU,HV00000182,AU-86,2022-04-02,ACTIVE,2026-05-10,0,clean
REC-0000018,CUS-0000018,BLUEWATER COMMODITIES GMBH,ENTITY,,CH,HV00000199,CH-11,,ACTIVE,2026-04-27,0,missing_supporting
REC-0000019,CUS-0000019,JOHAN HASSAN,INDIVIDUAL,1951-04-30,GB,HV00000202,GB-91,2018-05-31,DORMANT,2025-10-22,0,clean
REC-0000020,CUS-0000020,JOHAN MORETTI,INDIVIDUAL,1982-12-12,US,HV00000219,US-66,2018-11-16,ACTIVE,2026-06-04,0,clean
REC-0000021,CUS-0000021,AISHA KHAN,INDIVIDUAL,1945-11-11,FI,HV00000226,FI-61,2016-09-18,ACTIVE,2025-09-08,0,clean
REC-0000022,CUS-0000022,ZOË ØSTERGAARD,INDIVIDUAL,1990-06-30,GB,HV00000233,GB-48,2009-05-27,ACTIVE,2026-02-23,0,clean_edge
REC-0000023,CUS-0000023,ELENA ANDERSEN,INDIVIDUAL,1986-11-18,AT,HV00000240,AT-58,2019-11-15,ACTIVE,2025-11-16,0,clean
REC-0000024,CUS-0000024,JOHAN DUBOIS,,1995-09-18,NO,HV00000257,NO-17,2015-08-14,ACTIVE,2026-05-11,0,missing_supporting
REC-0000025,CUS-0000025,WEI IVANOV,INDIVIDUAL,1961-07-08,AU,HV00000264,AU-32,2020-10-24,ACTIVE,2026-04-11,0,clean
REC-0000026,CUS-0000026,CHLOE MORETTI,INDIVIDUAL,1966-02-16,MX,HV00000271,MX-14,2021-06-18,ACTIVE,2026-02-06,0,clean
REC-0000027,CUS-0000027,SOFIA NAKAMURA,INDIVIDUAL,1963-09-25,MX,HV00000288,MX-90,2007-08-07,ACTIVE,2026-03-21,0,clean
REC-0000028,CUS-0000028,OMAR AL-RASHID,INDIVIDUAL,1963-10-31,SE,HV00000295,SE-28,2011-01-16,ACTIVE,2026-04-07,0,clean
REC-0000029,CUS-0000029,TARIQ DUBOIS,INDIVIDUAL,1965-11-22,IE,HV00000308,IE-66,2022-10-19,ACTIVE,2026-01-26,0,clean
REC-0000030,CUS-0000030,NADIA MORETTI,INDIVIDUAL,1979-04-10,AU,HV00000315,AU-20,2017-03-23,ACTIVE,2025-11-21,0,clean
REC-0000031,CUS-0000031,JAMES MULLER,INDIVIDUAL,1960-07-15,IE,HV00000322,IE-96,2011-08-14,DORMANT,2025-09-09,0,clean
REC-0000032,CUS-0000032,SOFIA KHAN,INDIVIDUAL,1964-03-06,ZZ,HV00000339,ZA-93,2023-02-25,ACTIVE,2026-04-02,1,country_drift
REC-0000033,CUS-0000033,VIKTOR FERREIRA,INDIVIDUAL,1996-12-12,AU,HV00000346,AU-72,2010-01-26,CLOSED,2025-11-02,0,clean
REC-0000034,CUS-0000034,SOFIA TANAKA,INDIVIDUAL,1954-06-05,NL,HV00000353,NL-52,2013-03-15,ACTIVE,2025-10-20,0,clean
REC-0000035,CUS-0000035,YUSUF JOHANSSON,INDIVIDUAL,1943-04-17,IT,HV00000360,IT-68,2024-03-31,ACTIVE,2026-02-21,0,clean
REC-0000036,CUS-0000036,LENA KARIMI,INDIVIDUAL,1940-02-07,BE,HV00000377,BE-94,2015-01-25,ACTIVE,2025-07-05,0,clean_edge
REC-0000037,CUS-0000037,CHLOE ANDERSEN,INDIVIDUAL,1984-09-20,ZA,HV00000384,ZA-90,2014-02-11,ACTIVE,2026-06-04,0,clean
REC-0000038,CUS-0000038,KATHERINE KOWALSKI,INDIVIDUAL,1979-04-22,SE,,SE-99,2008-12-09,ACTIVE,2026-06-16,0,missing_supporting
REC-0000039,CUS-0000039,YUKI KOWALSKI,INDIVIDUAL,1989-06-01,JP,HV00000404,JP-11,2021-12-02,ACTIVE,2026-05-14,0,clean
REC-0000040,CUS-0000040,KENJI TANAKA,INDIVIDUAL,1998-02-09,DK,HV00000411,DK-29,2008-07-18,ACTIVE,2026-02-01,0,clean
REC-0000041,CUS-0000041,TARIQ MORETTI,INDIVIDUAL,1982-05-13,AU,HV00000428,AU-41,2015-04-27,ACTIVE,2026-04-17,0,clean
REC-0000042,CUS-0000042,PABLO VARGAS,INDIVIDUAL,1952-03-31,LU,HV00000435,LU-18,2019-06-12,ACTIVE,2025-11-30,0,clean
REC-0000043,CUS-0000043,PRIYA KHAN,INDIVIDUAL,1940-03-25,AT,HV00000442,AT-46,2017-05-22,ACTIVE,2025-09-03,0,clean
REC-0000044,CUS-0000044,LENA AL-RASHID,INDIVIDUAL,1980-01-23,KR,HV00O00459,KR-78,2016-12-25,ACTIVE,2026-01-11,1,invalid_id_checksum
REC-0000045,CUS-0000045,MOHAMMED HASSAN,INDIVIDUAL,1961-06-04,NL,HV00000466,NL-83,2025-07-03,ACTIVE,2025-12-02,0,clean
REC-0000046,CUS-0000046,ALEKSANDR WATANABE,INDIVIDUAL,1974-03-15,PT,HV00000473,PT-59,2016-08-10,CLOSED,2026-04-14,0,clean
REC-0000047,CUS-0000047,PABLO DUBOIS,INDIVIDUAL,1969-10-13,GB,HV00000480,GB-22,2008-10-31,DORMANT,2025-11-17,0,clean
REC-0000048,CUS-0000048,JAMES VARGAS,INDIVIDUAL,1952-12-06,LU,HV00000497,LU-62,2016-04-01,DORMANT,2026-04-12,0,clean
REC-0000049,CUS-0000049,FATIMA PETROV,INDIVIDUAL,2002-02-22,AT,HV00000500,AT-60,2011-12-12,ACTIVE,2026-01-13,0,clean
REC-0000050,CUS-0000050,IRONWOOD MARINE SUPPLY BV,ENTITY,,FI,HV00000517,FI-72,2017-12-20,DORMANT,2026-06-12,0,clean
REC-0000051,CUS-0000051,RENÉE N'DIAYE,INDIVIDUAL,1965-10-12,JP,HV00000524,JP-39,2020-02-27,ACTIVE,2025-11-20,0,clean_edge
REC-0000052,CUS-0000052,NORTHGATE LOGISTICS LTD,ENTITY,,MX,HV00000531,MX-51,2009-09-24,DORMANT,2026-01-31,0,clean
REC-0000053,CUS-0000053,ELENA KARIMI,INDIVIDUAL,1976-12-19,BR,HV00000548,BR-82,2009-04-07,ACTIVE,2026-03-30,0,clean
REC-0000054,CUS-0000054,ATLANTIC FREIGHT SA,ENTITY,1988-08-12,DE,HV00000555,DE-97,2019-09-02,ACTIVE,2025-09-05,0,entity_dob_conflict
REC-0000055,CUS-0000055,JAMES BERGSTROM,INDIVIDUAL,1981-09-27,AU,HV00000562,AU-46,2020-12-15,ACTIVE,2026-04-11,0,clean
REC-0000056,CUS-0000056,JOHAN YAMAMOTO,INDIVIDUAL,1978-01-24,ES,HV00000579,ES-98,2019-03-07,ACTIVE,2026-01-27,0,clean
REC-0000057,CUS-0000057,AMARA TANAKA,INDIVIDUAL,1961-04-12,IT,HV00000586,IT-58,2025-02-20,ACTIVE,2025-09-09,0,clean
REC-0000058,CUS-0000058,JAMES KHAN,INDIVIDUAL,1999-01-19,PL,HV00000593,PL-60,2012-08-15,ACTIVE,2025-09-14,0,clean
REC-0000059,CUS-0000059,MERIDIAN FOODS BV,ENTITY,,BE,HV00000606,BE-73,2022-09-14,DORMANT,2026-02-04,0,clean
REC-0000060,CUS-0000060,HANNAH SCHMIDT,INDIVIDUAL,1959-08-25,JP,HV00000613,JP-91,2019-08-14,ACTIVE,2026-02-22,0,clean
REC-0000061,CUS-0000061,SOFIA NGUYEN,INDIVIDUAL,1952-04-08,PT,HV00000620,PT-90,2023-03-20,ACTIVE,2026-06-10,0,clean
