alert_id,customer_name,customer_dob,customer_nationality,pep_id,label,neg_category
PEPALR-0000000,SUSAN MOHAMMED,,,PEP-000109,0,common_name_ambiguous
PEPALR-0000001,SUSAN SANTOS,1970-03-15,THALASSIA,PEP-000048,0,wrong_party_common_name
PEPALR-0000002,OLASEGIN TASHIUNPOL,1976-02-02,MERIDONIA,PEP-000114,0,wrong_party_translit
PEPALR-0000003,CARLOS GARCIA,1949-03-11,MERIDONIA,PEP-000148,0,wrong_party_common_name
PEPALR-0000004,INGRID DANDORNOR,,MERIDONIA,PEP-000118,0,generic_token
PEPALR-0000005,SUSAN SANTOS,1972-07-15,KORVANIA,PEP-000048,0,wrong_party_common_name
PEPALR-0000006,MATEO ZARSOLDRAV,,KORVANIA,PEP-000047,0,generic_token
PEPALR-0000007,VIKTOR DRAVIANFER,,ZEMBRATA,PEP-000004,0,out_of_scope_former
PEPALR-0000008,JAMES SANTOS,1970-01-10,ARBEQUIA,PEP-000013,0,wrong_party_common_name
PEPALR-0000009,SUSAN SANTOS,1963-07-15,ARBEQUIA,PEP-000130,0,wrong_party_common_name
PEPALR-0000010,OLUSEGUN SHIDARKAL,,ZEMBRATA,PEP-000104,0,generic_token
PEPALR-0000011,INGRID VARVASHSEV,,KORVANIA,PEP-000097,0,out_of_scope_former
PEPALR-0000012,VIKTOR ZARGALPOL,,SOLVENNIA,PEP-000124,0,generic_token
PEPALR-0000013,MEI CHEN,,BALDURIA,PEP-000072,0,out_of_scope_former
PEPALR-0000014,JAMES MOHAMMED,1986-02-02,SOLVENNIA,PEP-000079,0,wrong_party_common_name
PEPALR-0000015,PRIYA ZARMIRLAN,,ZEMBRATA,PEP-000146,0,generic_token
PEPALR-0000016,DAVID GARCIA,1955-12-02,ARBEQUIA,PEP-000012,0,wrong_party_common_name
PEPALR-0000017,OLUSEGUN VOLMIRVOL,,NORVENIA,PEP-000005,0,out_of_scope_former
PEPALR-0000018,JAMES CHEN,1976-10-25,SOLVENNIA,PEP-000116,0,wrong_party_common_name
PEPALR-0000019,SUSAN SANTOS,1982-09-08,ARBEQUIA,PEP-000048,0,wrong_party_common_name
PEPALR-0000020,JAMES GARCIA,1980-11-14,MERIDONIA,PEP-000067,0,wrong_party_common_name
PEPALR-0000021,MEI SILVA,,,PEP-000119,0,common_name_ambiguous
PEPALR-0000022,RUVI POLKOVTASH,1955-04-10,THALASSIA,PEP-000063,0,wrong_party_translit
PEPALR-0000023,OLUSEGUN VOLMIRVOL,,ARBEQUIA,PEP-000005,0,out_of_scope_former
PEPALR-0000024,DAVID SILVA,1956-04-11,SOLVENNIA,PEP-000093,0,wrong_party_common_name
PEPALR-0000025,PRIYA FERRANQOM,,NORVENIA,PEP-000070,0,out_of_scope_former
PEPALR-0000026,CARLOS PARK,1964-11-20,VESTMARLAND,PEP-000094,0,wrong_party_common_name
PEPALR-0000027,LEILA DANOVAZAR,1953-10-14,SOLVENNIA,PEP-000127,1,
PEPALR-0000028,PRIYA TENSKFER,,DRAVELLIA,PEP-000087,0,out_of_scope_former
PEPALR-0000029,JAMES MOHAMMED,,,PEP-000079,0,common_name_ambiguous
PEPALR-0000030,CARLOS SANTOS,,,PEP-000037,0,common_name_ambiguous
PEPALR-0000031,RAVI FERSTROYRUS,,BALDURIA,PEP-000038,0,generic_token
PEPALR-0000032,OLUSEGUN POLSKKAL,,NORVENIA,PEP-000058,0,generic_token
PEPALR-0000033,DAVID PARK,,THALASSIA,PEP-000088,0,out_of_scope_former
PEPALR-0000034,OLUSEGUN KALBEKTEN,,KORVANIA,PEP-000032,0,generic_token
PEPALR-0000035,SUSAN SANTOS,1941-05-18,THALASSIA,PEP-000048,0,wrong_party_common_name
PEPALR-0000036,JAMES CHEN,1954-07-19,BALDURIA,PEP-000116,0,wrong_party_common_name
PEPALR-0000037,VIKTOR MORTEKVAR,,THALASSIA,PEP-000108,0,generic_token
PEPALR-0000038,VIKTOR FERBEKNOR,,DRAVELLIA,PEP-000031,0,out_of_scope_former
PEPALR-0000039,VIKTOR BURSKVOL,,MERIDONIA,PEP-000074,0,generic_token
PEPALR-0000040,CARLOS SILVA,,,PEP-000027,1,
PEPALR-0000041,VIKTOR NORDARZAR,,BALDURIA,PEP-000035,0,generic_token
PEPALR-0000042,YAKI GORDARVOL,1974-09-14,KORVANIA,PEP-000099,0,wrong_party_translit
PEPALR-0000043,VIKTOR DANDORGOR,,,PEP-000090,1,
PEPALR-0000044,DAVID KHAN,1963-05-24,,PEP-000112,1,
PEPALR-0000045,CARLOS SANTOS,1973-03-08,BALDURIA,PEP-000037,0,wrong_party_common_name
PEPALR-0000046,ANNA SILVA,1957-07-03,DRAVELLIA,PEP-000117,0,wrong_party_common_name
PEPALR-0000047,INGRID LANSTROYDRAV,,NORVENIA,PEP-000052,0,out_of_scope_former
PEPALR-0000048,KWAME VOLIANRUS,,ARBEQUIA,PEP-000103,0,generic_token
PEPALR-0000049,MATEO KALBEKSHI,,TASHKUVAN,PEP-000134,0,out_of_scope_former
PEPALR-0000050,SUSAN KIM,,DRAVELLIA,PEP-000081,0,out_of_scope_former
PEPALR-0000051,INGRID GOROVAQOM,,THALASSIA,PEP-000016,0,generic_token
PEPALR-0000052,VIKTOR DRAVIANFER,,SOLVENNIA,PEP-000004,0,out_of_scope_former
PEPALR-0000053,DAVID GARCIA,,,PEP-000012,0,common_name_ambiguous
PEPALR-0000054,LEILA LANDARRUS,,NORVENIA,PEP-000002,0,generic_token
PEPALR-0000055,MEI SILVA,1983-09-11,ARBEQUIA,PEP-000119,0,wrong_party_common_name
PEPALR-0000056,JAMES SANTOS,1972-12-12,KORVANIA,PEP-000013,0,wrong_party_common_name
PEPALR-0000057,JAMES SANTOS,1961-10-25,VESTMARLAND,PEP-000013,0,wrong_party_common_name
PEPALR-0000058,NADIA VARSOLRUS,,SOLVENNIA,PEP-000062,0,out_of_scope_former
PEPALR-0000059,OMAR KIM,,,PEP-000145,0,common_name_ambiguous
PEPALR-0000060,MEI CHEN,,SOLVENNIA,PEP-000072,0,out_of_scope_former
PEPALR-0000061,AMARA SHISTROYKAL,,BALDURIA,PEP-000133,0,out_of_scope_former
PEPALR-0000062,SUSAN SANTOS,1964-12-26,SOLVENNIA,PEP-000048,0,wrong_party_common_name
PEPALR-0000063,PRIYA FERRANQOM,,NORVENIA,PEP-000070,0,out_of_scope_former
PEPALR-0000064,MATEO KRUDORPUL,,,PEP-000082,1,
PEPALR-0000065,CARLOS GARCIA,1945-10-20,DRAVELLIA,PEP-000148,0,wrong_party_common_name
PEPALR-0000066,SUSAN SANTOS,1964-02-24,MERIDONIA,PEP-000130,0,wrong_party_common_name
PEPALR-0000067,CARLOS KHAN,,,PEP-000147,0,common_name_ambiguous
PEPALR-0000068,DMITRI NORTEKKAL,,NORVENIA,PEP-000026,0,out_of_scope_former
PEPALR-0000069,SUSAN SANTOS,1957-07-10,ZEMBRATA,PEP-000130,0,wrong_party_common_name
PEPALR-0000070,OMAR KIM,,,PEP-000145,0,common_name_ambiguous
PEPALR-0000071,CARLOS SANTOS,1948-05-01,ARBEQUIA,PEP-000037,0,wrong_party_common_name
PEPALR-0000072,HANNE MORSKRUS,,ARBEQUIA,PEP-000064,0,out_of_scope_former
PEPALR-0000073,VIKTOR TASHGALMOR,,THALASSIA,PEP-000096,0,generic_token
PEPALR-0000074,RIVO FERLUNTASH,1957-07-12,ZEMBRATA,PEP-000060,0,wrong_party_translit
PEPALR-0000075,CARLOS GARCIA,1951-11-25,MERIDONIA,PEP-000148,0,wrong_party_common_name
PEPALR-0000076,DAVID KHAN,1963-05-24,,PEP-000112,1,
PEPALR-0000077,OLUSEGUN TENDORTASH,,SOLVENNIA,PEP-000008,0,generic_token
PEPALR-0000078,SUSAN SANTOS,1985-07-26,ARBEQUIA,PEP-000048,0,wrong_party_common_name
PEPALR-0000079,OMAR KIM,,,PEP-000145,0,common_name_ambiguous
PEPALR-0000080,HANNE POLIANLAN,,DRAVELLIA,PEP-000078,0,out_of_scope_former
PEPALR-0000081,VIKTOR NORZINQOM,,SOLVENNIA,PEP-000096,0,generic_token
PEPALR-0000082,DAVID GARCIA,1976-11-22,SOLVENNIA,PEP-000012,0,wrong_party_common_name
PEPALR-0000083,LEILA TENZINZAR,,ZEMBRATA,PEP-000129,0,generic_token
PEPALR-0000084,INGRID VARVASHSEV,,THALASSIA,PEP-000097,0,out_of_scope_former
PEPALR-0000085,INGRID TASHMIRRUS,,SOLVENNIA,PEP-000073,0,out_of_scope_former
PEPALR-0000086,KWAME NORVASHKAL,,QUELLARA,PEP-000068,0,out_of_scope_former
PEPALR-0000087,JAMES KIM,,MERIDONIA,PEP-000023,0,out_of_scope_former
PEPALR-0000088,SUSAN MOHAMMED,1961-08-26,BALDURIA,PEP-000109,0,wrong_party_common_name
PEPALR-0000089,INGRAD QIMNEFTTEN,1942-12-04,KORVANIA,PEP-000016,0,wrong_party_translit
PEPALR-0000090,RAVI BURMIRGOR,,TASHKUVAN,PEP-000107,0,generic_token
PEPALR-0000091,HUNNI MERSKRUS,1965-01-24,VESTMARLAND,PEP-000064,0,wrong_party_translit
PEPALR-0000092,SUSAN KIM,,THALASSIA,PEP-000081,0,out_of_scope_former
PEPALR-0000093,MATOO RESVASHRUS,1969-02-09,SOLVENNIA,PEP-000115,0,wrong_party_translit
PEPALR-0000094,MATEO KALBEKSHI,,ARBEQUIA,PEP-000134,0,out_of_scope_former
