pep_id,name,tier,position,country,jurisdiction_risk,status,years_since_left,principal_tier,principal_name,relationship,adverse_flag,dob,aliases,name_class
PEP-000000,PRIYA QOMDARKRE,TIER_3,PROVINCIAL GOVERNOR,MERIDONIA,LOW,FORMER,29,,,,0,1941-09-07,PRIYI QOMDARKRE,distinctive
PEP-000001,PRIYA POLTEKZAR,TIER_3,DISTRICT JUDGE,THALASSIA,LOW,FORMER,6,,,,0,1953-06-04,,distinctive
PEP-000002,LEILA FERTEKVOL,TIER_2,DEPUTY MINISTER,ZEMBRATA,HIGH,FORMER,18,,,,0,1975-05-27,,distinctive
PEP-000003,NADIA NOROVAQOM,TIER_3,REGIONAL COUNCILLOR,BALDURIA,HIGH,FORMER,3,,,,0,1969-11-27,,distinctive
PEP-000004,VIKTOR DRAVIANFER,TIER_3,REGIONAL COUNCILLOR,THALASSIA,LOW,FORMER,18,,,,0,1957-11-23,,distinctive
PEP-000005,OLUSEGUN VOLMIRVOL,TIER_3,DISTRICT JUDGE,NORVENIA,MEDIUM,FORMER,13,,,,0,1955-12-18,OLOSEGUN VELMIRVOL,distinctive
PEP-000006,RAVI DANSOLKAL,TIER_3,DISTRICT JUDGE,TASHKUVAN,HIGH,CURRENT,0,,,,0,1943-02-05,,distinctive
PEP-000007,INGRID RUSSOLFER,TIER_3,DISTRICT JUDGE,NORVENIA,MEDIUM,FORMER,17,,,,0,1940-11-24,,distinctive
PEP-000008,OLUSEGUN MORZINSEV,TIER_2,SENIOR PARTY SECRETARY,QUELLARA,MEDIUM,CURRENT,0,,,,0,1950-09-25,OLESEGUN MIRZENSEV,distinctive
PEP-000009,RAVI SEVMIRVOL,RCA,SPOUSE OF YUKI ZARZINKAL,VESTMARLAND,LOW,CURRENT,0,TIER_3,YUKI ZARZINKAL,SPOUSE,0,1971-02-25,,distinctive
PEP-000010,ANNA MOHAMMED,TIER_3,MAYOR,VESTMARLAND,LOW,CURRENT,0,,,,0,1953-09-25,,common
PEP-000011,MATEO KALVASHGOR,TIER_3,MAYOR,BALDURIA,HIGH,CURRENT,0,,,,0,1977-09-08,,distinctive
