alert_id,party_name,party_type,party_dob,party_nationality,party_country,party_place_of_birth,party_passport,party_national_id,party_registration,party_imo,party_tail_number,party_wallet,entry_uid,label,fp_category
ALR-0000000,SHISKMOR EXPRESS,ENTITY,,,,,,,,,,,SDN-00111,0,generic
ALR-0000001,POLOILSHI MARINE,ENTITY,,,US,,,,,,,,SDN-00096,0,discriminator
ALR-0000002,KREGRADLAN PETROLEUM,ENTITY,,,,,,,,,,,SDN-00067,0,generic
ALR-0000003,KALSKKAL CONSTRUCTION,ENTITY,,,,,,,,,,,SDN-00025,0,generic
ALR-0000004,SHISKZAR PETROLEUM,ENTITY,,,,,,,,,,,SDN-00080,0,generic
ALR-0000005,MORBANKZAR AVIATION,ENTITY,,,,,,,,,,,SDN-00057,0,generic
ALR-0000006,NORDARZAR CONSTRUCTION,ENTITY,,,,,,,,,,,SDN-00078,0,generic
ALR-0000007,POLGAZBUR ORIENT,ENTITY,,,,,,,,,,,SDN-00079,0,generic
ALR-0000008,FERIANVOL STAR,ENTITY,,,,,,,,,,,SDN-00110,0,generic
ALR-0000009,NORTECHPOL TEXTILE,ENTITY,,,,,,,,,,,SDN-00119,0,generic
ALR-0000010,LANGRADKRE WESTERN,ENTITY,,,,,,,,,,,SDN-00053,0,generic
ALR-0000011,DANMASHGOR TEXTILE,ENTITY,,,,,,,,,,,SDN-00119,0,generic
ALR-0000012,VOLKOVLAN PETROLEUM,ENTITY,,,,,,,,,,,SDN-00112,0,generic
ALR-0000013,PEARL LLC GROUP,ENTITY,,,,,,,,,,,SDN-00048,0,type
ALR-0000014,BURDARRUS PETROLEUM,ENTITY,,,,,,,,,,,SDN-00080,0,generic
ALR-0000015,ALI NORDARQOM,INDIVIDUAL,1973-12-02,SG,,,,,,,,,SDN-00103,0,discriminator
ALR-0000016,SHISTROYTEN PRIDE,VESSEL,,,CN,,,,,,,,SDN-00117,1,
ALR-0000017,TENOILKRE CONSTRUCTION,ENTITY,,,,,,,,,,,SDN-00078,0,generic
ALR-0000018,POLBANKNOR ORIENT,ENTITY,,,,,,,,,,,SDN-00114,0,generic
ALR-0000019,RUSGRADNOR EXPRESS,ENTITY,,,,,,,,,,,SDN-00111,0,generic
ALR-0000020,PRIDE TRADING,ENTITY,,,,,,,,,,,SDN-00040,0,type
ALR-0000021,GORSTROYKAL UNITED,ENTITY,,,,,,,,,,,SDN-00100,0,generic
ALR-0000022,TASHTECHKRE TRADING,ENTITY,,,,,,,,,,,SDN-00029,0,type
ALR-0000023,TASHIANBUR PETROLEUM,ENTITY,,,,,,,,,,,SDN-00112,0,generic
ALR-0000024,POLGAZMOR EXPRESS,ENTITY,,,,,,,,,,,SDN-00111,0,generic
ALR-0000025,SEVTECHDAN ROAD,ENTITY,,,,,,,,,,,SDN-00115,0,generic
ALR-0000026,POLOVAVOL NATIONAL,ENTITY,,,,,,,,,,,SDN-00088,0,generic
ALR-0000027,FERGRADRUS CONSTRUCTION,ENTITY,,,,,,,,,,,SDN-00011,0,generic
ALR-0000028,CHEN VOLOILKAL,INDIVIDUAL,,,,,,,,,,,SDN-00094,0,weak
ALR-0000029,VARGRADTASH PETROLEUM,ENTITY,,,,,,,,,,,SDN-00112,0,generic
ALR-0000030,NORTECHPOL PARTNERS,ENTITY,,,,,,,,,,,SDN-00063,0,type
ALR-0000031,POLGRADGOR EASTERN,ENTITY,,,,,,,,,,,SDN-00085,0,generic
ALR-0000032,DRAVINVESTNOR AVIATION,ENTITY,,,AE,,,,,,,,SDN-00049,0,discriminator
ALR-0000033,MORIANMOR ROAD,ENTITY,,,,,,,,,,,SDN-00115,0,generic
ALR-0000034,FERDARMOR PEARL,ENTITY,,,,,,,,,,,SDN-00052,0,generic
ALR-0000035,SEVTRANSTASH PETROLEUM,ENTITY,,,,,,,,,,,SDN-00067,0,generic
ALR-0000036,TASHGRADNOR WESTERN,ENTITY,,,,,,,,,,,SDN-00060,0,generic
ALR-0000037,BURSTROYMOR AVIATION,ENTITY,,,,,,,,,,,SDN-00057,0,generic
ALR-0000038,HASSAN VOLZINVOL,INDIVIDUAL,,,,,,,,,,,SDN-00019,0,weak
ALR-0000039,VAROILQOM PARTNERS,ENTITY,,,,,,,,,,,SDN-00099,0,type
ALR-0000040,AVIATION TRADING,ENTITY,,,,,,,,,,,SDN-00029,0,type
ALR-0000041,CHEN DANBANKDAN,INDIVIDUAL,1950-07-12,CA,,,,,,,,,SDN-00098,0,discriminator
ALR-0000042,QOMSKQOM EASTERN,ENTITY,,,,,,,,,,,SDN-00085,0,generic
ALR-0000043,PRIDE PARTNERS,ENTITY,,,,,,,,,,,SDN-00035,0,type
ALR-0000044,OMAR LANIANDAN,INDIVIDUAL,,,,,,,,,,,SDN-00059,0,weak
ALR-0000045,FERDARDRAV UNITED,ENTITY,,,,,,,,,,,SDN-00041,0,generic
ALR-0000046,VARMASHPOL ENERGY,ENTITY,,,AU,,,,,,,,SDN-00070,0,discriminator
ALR-0000047,DRAVINVESTGOR LOGISTICS,ENTITY,,,,,,,,,,,SDN-00033,0,generic
ALR-0000048,POLBANKZAR ENERGY,ENTITY,,,,,,,,,,,SDN-00049,0,generic
ALR-0000049,RUSIANKAL SHIPPING,ENTITY,,,,,,,,,,,SDN-00051,0,generic
ALR-0000050,MARIA TASHPROMKRE,INDIVIDUAL,,,RU,,,,,,,,SDN-00107,0,weak
ALR-0000051,TENOVAMOR AVIATION,ENTITY,,,JP,,,,,,,,SDN-00089,0,discriminator
ALR-0000052,ZARTECHLAN CONSTRUCTION,ENTITY,,,,,,,,,,,SDN-00011,0,generic
ALR-0000053,OCEAN TRADING,ENTITY,,,,,,,,,,,SDN-00099,0,type
ALR-0000054,VOLEXPORTTEN EASTERN,ENTITY,,,,,,,,,,,SDN-00030,0,generic
ALR-0000055,NORTECHPOL ORIENT,ENTITY,,,AU,,,,,,,,SDN-00063,0,discriminator
ALR-0000056,AVIATION TRADING,ENTITY,,,,,,,,,,,SDN-00062,0,type
ALR-0000057,BURIANGOR ORIENT,ENTITY,,,,,,,,,,,SDN-00079,0,generic
ALR-0000058,GORSKZAR UNITED,ENTITY,,,,,,,,,,,SDN-00097,0,generic
ALR-0000059,KALTECHZAR GULF,ENTITY,,,,,,,,,,,SDN-00071,0,generic
ALR-0000060,KREGAZTASH NATIONAL,ENTITY,,,,,,,,,,,SDN-00118,0,generic
ALR-0000061,BURINVESTVAR INVESTMENT,ENTITY,,,,,,,,,,,SDN-00116,0,generic
ALR-0000062,VOLOILLAN NATIONAL,ENTITY,,,,,,,,,,,SDN-00088,0,generic
ALR-0000063,PRIDE EASTERN,ENTITY,,,SG,,,,,,,,SDN-00040,0,discriminator
ALR-0000064,VOLSTROYSEV PEARL,ENTITY,,,,,,,,,,,SDN-00052,0,generic
ALR-0000065,MORTECHKRE INVESTMENT,ENTITY,,,,,,,,,,,SDN-00116,0,generic
ALR-0000066,RUSGAZBUR EASTERN,ENTITY,,,,,,,,,,,SDN-00085,0,generic
ALR-0000067,DRAVIANTEN UNITED,ENTITY,,,,,,,,,,,SDN-00100,0,generic
ALR-0000068,DMITRI VOLSKVOL,INDIVIDUAL,,,MM,,,,,,,,SDN-00023,0,weak
ALR-0000069,FERPROMBUR EASTERN,ENTITY,,,,,,,,,,,SDN-00085,0,generic
ALR-0000070,FERPROMDRAV PETROLEUM,ENTITY,,,,,,,,,,,SDN-00067,0,generic
ALR-0000071,GORNEFTZAR NATIONAL,ENTITY,,,,,,,,,,,SDN-00070,0,generic
