uid,name,entity_type,program,aliases,dob,nationality,country,place_of_birth,passport,national_id,registration,imo,tail_number,wallet
SDN-00000,ZARTECHQOM PEARL,ENTITY,GLOMAG,,,,KP,,,,,,,
SDN-00001,ALI TENOVAZAR,INDIVIDUAL,GLOMAG,,1961-04-17,AF,AF,,P3335942,,,,,
SDN-00002,AHMED POLTECHZAR,INDIVIDUAL,CUBA,AHMED RUSZINKAL,1992-07-11,VE,VE,,P5647119,,,,,
SDN-00003,VOLINVESTSHI GLOBAL,ENTITY,CUBA,,,,CN,,,,REG307419,,,
SDN-00004,NOROVAQOM AVIATION,ENTITY,IRAN,,,,VE,,,,,,,
SDN-00005,FATIMA POLBANKBUR,INDIVIDUAL,IRAN,,1970-04-22,VE,VE,,,,,,,
SDN-00006,BURSKQOM GENERAL,ENTITY,GLOMAG,,,,MM,,,,REG970342,,,
SDN-00007,MOHAMMED MOROVAQOM,INDIVIDUAL,CUBA,,1968-07-09,IR,IR,,P9515702,,,,,
SDN-00008,MARIA VARTRANSPOL,INDIVIDUAL,SDNTK,,1964-03-08,BY,BY,,,,,,,
SDN-00009,RUSBANKQOM PEARL,VESSEL,IRAN,,,,MM,,,,,IMO9548432,,
SDN-00010,KREDARBUR METALS,ENTITY,NPWMD,,,,CN,,,,,,,
SDN-00011,SHIKOVKRE CONSTRUCTION,ENTITY,CUBA,,,,BY,,,,,,,
SDN-00012,IVAN TENNEFTPOL,INDIVIDUAL,SYRIA,IVAN SEVGRADFER,1964-09-25,KP,KP,,,,,,,
SDN-00013,IVAN BURSKGOR,INDIVIDUAL,VENEZUELA,,1986-06-16,RU,RU,,P6089806,,,,,
SDN-00014,JOSE QOMIANNOR,INDIVIDUAL,DPRK,,1952-09-25,KP,KP,,P7973915,,,,,
SDN-00015,RASHID FERPROMLAN,INDIVIDUAL,GLOMAG,,1992-04-23,VE,VE,,P6264956,,,,,
SDN-00016,DMITRI QOMEXPORTNOR,INDIVIDUAL,RUSSIA-EO14024,DMITRI VOLEXPORTNOR,1949-10-18,SY,SY,,,,,,,
SDN-00017,NORGRADQOM OCEAN,VESSEL,GLOMAG,,,,SY,,,,,IMO9143903,,
SDN-00018,JOSE DANMASHQOM,INDIVIDUAL,SDNTK,,1974-04-04,IR,IR,,,,,,,
SDN-00019,OMAR VOLZINVOL,INDIVIDUAL,SYRIA,OMAR BURTECHPOL,1969-02-08,SY,SY,,P7526486,,,,,
SDN-00020,NORINVESTSHI STAR,VESSEL,RUSSIA-EO14024,,,,BY,,,,,IMO1848731,,
SDN-00021,QOMNEFTTEN AVIATION,AIRCRAFT,RUSSIA-EO14024,,,,CN,,,,,,EP-HHD,
SDN-00022,CHEN ZARTRANSDRAV,INDIVIDUAL,SYRIA,,1966-07-23,BY,BY,,,,,,,
SDN-00023,DMITRI VOLSKVOL,INDIVIDUAL,DPRK,,1951-01-19,MM,MM,,,,,,,
SDN-00024,ALI GORIANBUR,INDIVIDUAL,SYRIA,,1986-02-22,SY,SY,,,,,,,
SDN-00025,VOLIANTEN CONSTRUCTION,ENTITY,VENEZUELA,,,,AF,,,,,,,
SDN-00026,OMAR MOREXPORTDRAV,INDIVIDUAL,IRAN,,1956-11-21,VE,VE,,,,,,,
SDN-00027,RASHID FERZINNOR,INDIVIDUAL,SYRIA,,1961-09-09,KP,KP,,,,,,,
SDN-00028,HASSAN BURINVESTSHI,INDIVIDUAL,IRAN,,1987-11-17,RU,RU,,,,,,,
SDN-00029,TASHTECHKRE AVIATION,AIRCRAFT,VENEZUELA,,,,VE,,,,,,EP-BJC,
SDN-00030,MORSTROYDRAV EASTERN,ENTITY,IRAN,,,,MM,,,,REG952273,,,
SDN-00031,DRAVOVAZAR NATIONAL,ENTITY,NPWMD,DRAVOVAZAR MARINE,,,KP,,,,,,,
SDN-00032,TENSKZAR GLOBAL,ENTITY,DPRK,,,,IR,,,,,,,
SDN-00033,KALSKTASH LOGISTICS,ENTITY,RUSSIA-EO14024,,,,KP,,,,REG382364,,,
SDN-00034,LANEXPORTKRE OCEAN,VESSEL,DPRK,,,,AF,,,,,IMO7817881,,
SDN-00035,QOMNEFTBUR PRIDE,VESSEL,CUBA,,,,KP,,,,,IMO1415846,,
SDN-00036,TENEXPORTDRAV GENERAL,ENTITY,SYRIA,,,,IR,,,,REG040605,,,
SDN-00037,WEI POLBANKSEV,INDIVIDUAL,VENEZUELA,,1962-01-22,SY,SY,,P4674183,,,,,
SDN-00038,DMITRI GORTRANSSHI,INDIVIDUAL,RUSSIA-EO14024,,1949-02-09,KP,KP,,,,,,,
SDN-00039,VLADIMIR TENBANKMOR,INDIVIDUAL,GLOMAG,VLADIMIR VOLPROMZAR,1986-09-04,CN,CN,,,,,,,
SDN-00040,SHISTROYKAL PRIDE,VESSEL,CUBA,,,,CU,,,,,IMO2173965,,
SDN-00041,KREOILGOR UNITED,ENTITY,SYRIA,KREOILGOR EXPRESS,,,CN,,,,REG731076,,,
SDN-00042,YUSUF RUSNEFTFER,INDIVIDUAL,CUBA,,1967-07-18,RU,RU,,P3526280,,,,,
SDN-00043,JOSE POLSTROYGOR,INDIVIDUAL,CUBA,,1958-11-03,VE,VE,,,,,,,
SDN-00044,SERGEI QOMOILQOM,INDIVIDUAL,IRAN,,1957-01-02,SY,SY,,,,,,,
SDN-00045,JOSE DANSTROYRUS,INDIVIDUAL,IRAN,,1973-04-05,RU,RU,,,,,,,
SDN-00046,QOMNEFTGOR INVESTMENT,ENTITY,IRAN,,,,RU,,,,,,,
SDN-00047,ANNA POLGRADSHI,INDIVIDUAL,NPWMD,,1968-08-20,BY,BY,,,,,,,
SDN-00048,VARINVESTDRAV PEARL,VESSEL,NPWMD,,,,BY,,,,,IMO5652512,,
SDN-00049,DRAVINVESTNOR ENERGY,ENTITY,GLOMAG,,,,VE,,,,REG352161,,,
SDN-00050,MARIA TASHEXPORTRUS,INDIVIDUAL,SYRIA,,1961-02-14,CN,CN,,P7816912,,,,,
SDN-00051,RUSKOVDAN SHIPPING,ENTITY,SDNTK,RUSKOVDAN SHIPPING,,,MM,,,,REG368845,,,
SDN-00052,SHIEXPORTVAR PEARL,ENTITY,SDNTK,,,,VE,,,,REG030434,,,
SDN-00053,POLDARFER WESTERN,ENTITY,RUSSIA-EO14024,,,,RU,,,,,,,
SDN-00054,AHMED TENDARPOL,INDIVIDUAL,SDNTK,,1951-05-13,CU,CU,,P5483562,,,,,
SDN-00055,JOSE TENTECHNOR,INDIVIDUAL,IRAN,,1949-12-18,RU,RU,,,,,,,
SDN-00056,VOLKOVQOM STAR,ENTITY,IRAN,VOLKOVQOM FINANCE,,,RU,,,,,,,
SDN-00057,LANINVESTDRAV AVIATION,ENTITY,IRAN,,,,CU,,,,REG636745,,,
SDN-00058,BUROILKRE GULF,ENTITY,SDNTK,,,,RU,,,,,,,
SDN-00059,WEI LANIANDAN,INDIVIDUAL,IRAN,,1954-12-25,VE,VE,,,,,,,
SDN-00060,DANOVAKAL WESTERN,ENTITY,CUBA,DANOVAKAL ORIENT,,,CN,,,,,,,
SDN-00061,VLADIMIR TENMASHKRE,INDIVIDUAL,GLOMAG,,1971-11-27,MM,MM,,,,,,,
SDN-00062,DRAVSKVAR AVIATION,AIRCRAFT,CUBA,,,,VE,,,,,,EP-HGK,
