uid,name,entity_type,program,sources,merged_from
OFAC_SDN-001062-0,ANNA BABENOFON,INDIVIDUAL,OFA-PROG; UN_-PROG,OFAC_SDN|UN_CONSOLIDATED,2
UK_OFSI-003049-0,ANNA KINOZAKIGOHOH,INDIVIDUAL,UK_-PROG,UK_OFSI,1
EU_CFSP-000634-1,ZIRIZOHUVE CIPITAL,VESSEL,EU_-PROG,EU_CFSP,1
OFAC_SDN-002169-0,JUBUHOJEROSE HOLDINGS,ENTITY,OFA-PROG,OFAC_SDN,1
EU_CFSP-000897-1,MOHAMMED ZEKESAFE,INDIVIDUAL,EU_-PROG,EU_CFSP,1
OFAC_SDN-000112-1,HIDENAKIFEPE STAR,ENTITY,OFA-PROG; UK_-PROG,OFAC_SDN|UK_OFSI,2
OFAC_SDN-000330-1,MUSODUJOH CAPITAL,ENTITY,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
OFAC_SDN-002197-1,IVUN NAKANELAFI,INDIVIDUAL,OFA-PROG; UK_-PROG; UN_-PROG,OFAC_SDN|UK_OFSI|UN_CONSOLIDATED,3
UK_OFSI-001242-1,OMAR GUVEPAZUREG,INDIVIDUAL,UK_-PROG,UK_OFSI,1
OFAC_SDN-002821-1,SUHORESEPA HOLDINGS,ENTITY,EU_-PROG; OFA-PROG,EU_CFSP|OFAC_SDN,2
UN_CONSOLIDATED-002234-0,FORASUHEPUNU GLOBAL,ENTITY,UN_-PROG,UN_CONSOLIDATED,1
UK_OFSI-002587-0,CASOTESOP STAR,AIRCRAFT,UK_-PROG,UK_OFSI,1
UN_CONSOLIDATED-002940-1,PAKUJIVOLUNE CAPOTAL,ENTITY,EU_-PROG; UK_-PROG; UN_-PROG,EU_CFSP|UK_OFSI|UN_CONSOLIDATED,3
UK_OFSI-000978-0,ANNA NUCIHOKEFA,INDIVIDUAL,UK_-PROG,UK_OFSI,1
OFAC_SDN-002648-0,DEFAVAZOZANO HOLDINGS,ENTITY,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
OFAC_SDN-002032-1,JAJARINEJERON TRADING,CRYPTO,EU_-PROG; OFA-PROG; UN_-PROG,EU_CFSP|OFAC_SDN|UN_CONSOLIDATED,3
