uid,name,entity_type,program,aliases,source,true_entity_id,id_dob,id_nationality,id_country,id_place_of_birth,id_passport,id_national_id,id_registration,id_imo,id_tail_number,id_wallet
EU_CFSP-000057-1,FATIMA KUPARASATA,INDIVIDUAL,EU_-PROG,,EU_CFSP,57,1957-10-02,,AE,,,,,,,
EU_CFSP-000164-0,OMAR VEVIKABAFUVE,INDIVIDUAL,EU_-PROG,,EU_CFSP,164,1924-09-25,,VE,,P0000164,,,,,
UN_CONSOLIDATED-000046-0,OMAR FODEKOPARAF,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,46,1946-11-19,,CN,,P0000046,,,,,
UK_OFSI-000005-0,CHEN JUNEVOTEK,INDIVIDUAL,UK_-PROG,,UK_OFSI,5,1905-06-06,,VE,,P0000005,,,,,
UK_OFSI-000121-1,CHEN KIDEMAME,INDIVIDUAL,UK_-PROG,,UK_OFSI,121,1951-02-10,,SY,,,,,,,
EU_CFSP-000090-0,DOCISEGOR OCEAN,ENTITY,EU_-PROG,,EU_CFSP,90,,,AE,,,,REG000090,,,
UK_OFSI-000082-1,JINOZONETUNUL OCEAN,ENTITY,UK_-PROG,,UK_OFSI,82,,,SY,,,,REG000082,,,
UK_OFSI-000114-1,MALAMETU OCEAN,ENTITY,UK_-PROG,,UK_OFSI,114,,,IR,,,,REG000114,,,
EU_CFSP-000109-1,MOHAMMED FEPINOJUV,INDIVIDUAL,EU_-PROG,,EU_CFSP,109,1939-02-26,,BY,,,,,,,
OFAC_SDN-000037-0,TAJIGITOFA CAPITAL,ENTITY,OFA-PROG,,OFAC_SDN,37,,,KP,,,,REG000037,,,
EU_CFSP-000130-0,ANNA NITIKAJEFEFEN,INDIVIDUAL,EU_-PROG,,EU_CFSP,130,1960-11-19,,IR,,P0000130,,,,,
UN_CONSOLIDATED-000154-0,WEI JIBIZEBA,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,154,1914-11-15,,IR,,P0000154,,,,,
UN_CONSOLIDATED-000134-0,KUBOPOVIZIRIN CAPITAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,134,,,RU,,,,REG000134,,,
EU_CFSP-000161-0,AHMED GOFUFIFAVEJI,INDIVIDUAL,EU_-PROG,,EU_CFSP,161,1921-06-22,,AE,,P0000161,,,,,
UN_CONSOLIDATED-000118-0,MARIA GUVICAFOBAHOS,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,118,1948-11-07,,KP,,P0000118,,,,,
UK_OFSI-000160-0,MOHAMMED CUCABAFOTOFUG,INDIVIDUAL,UK_-PROG,,UK_OFSI,160,1920-05-21,,VE,,P0000160,,,,,
OFAC_SDN-000006-0,GESUDORU GLOBAL,ENTITY,OFA-PROG,,OFAC_SDN,6,,,RU,,,,REG000006,,,
OFAC_SDN-000023-2,ANNA GEDOSITOCU,INDIVIDUAL,OFA-PROG,,OFAC_SDN,23,1923-12-24,,RU,,P0000023,,,,,
UN_CONSOLIDATED-000099-1,CUCACESEKAGAT SHIPPING,VESSEL,UN_-PROG,,UN_CONSOLIDATED,99,,,RU,,,,,1000099,,
UN_CONSOLIDATED-000006-1,GESUDORU GLOBAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,6,,,RU,,,,REG000006,,,
EU_CFSP-000036-0,SOMOCODILIR TRADING,VESSEL,EU_-PROG,,EU_CFSP,36,,,BY,,,,,1000036,,
UK_OFSI-000099-0,CUCACASEKAGAT SHIPPING,VESSEL,UK_-PROG,,UK_OFSI,99,,,RU,,,,,1000099,,
OFAC_SDN-000080-0,GINERUMUNUZUM OCEAN,ENTITY,OFA-PROG,,OFAC_SDN,80,,,RU,,,,REG000080,,,
OFAC_SDN-000029-0,LUBUJAKOVUKO OCEAN,VESSEL,OFA-PROG,,OFAC_SDN,29,,,BY,,,,,1000029,,
OFAC_SDN-000108-1,SOCIDAKIHUCU STAR,ENTITY,OFA-PROG,,OFAC_SDN,108,,,CN,,,,,,,
EU_CFSP-000049-0,JUJENEBIGELEB GROUP,ENTITY,EU_-PROG,,EU_CFSP,49,,,RU,,,,REG000049,,,
OFAC_SDN-000122-0,MOHAMMED DUBINERUSIHO,INDIVIDUAL,OFA-PROG,,OFAC_SDN,122,1952-03-11,,RU,,P0000122,,,,,
UK_OFSI-000089-1,CHEN TAJUVAZOCOGAC,INDIVIDUAL,UK_-PROG,,UK_OFSI,89,1919-06-06,,BY,,,,,,,
UN_CONSOLIDATED-000076-0,MARIA GINIREPUFIKOT,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,76,1906-05-21,,KP,,P0000076,,,,,
OFAC_SDN-000014-0,METUMUZAMA GROUP,VESSEL,OFA-PROG,,OFAC_SDN,14,,,VE,,,,,1000014,,
UK_OFSI-000046-1,OMAR FADEKOPARAF,INDIVIDUAL,UK_-PROG,,UK_OFSI,46,1946-11-19,,CN,,P0000046,,,,,
UK_OFSI-000043-0,LATIHATIMO OCEAN,ENTITY,UK_-PROG,,UK_OFSI,43,,,VE,,,,REG000043,,,
EU_CFSP-000011-1,OMAR CACUNAKEJUTEL,INDIVIDUAL,EU_-PROG,,EU_CFSP,11,1911-12-12,,SY,,,,,,,
EU_CFSP-000050-2,OMAR CESUFAVOPU,INDIVIDUAL,EU_-PROG,,EU_CFSP,50,1950-03-23,,SY,,P0000050,,,,,
UN_CONSOLIDATED-000072-1,SERGEI CUGOPITAGUN,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,72,1902-01-17,,SY,,P0000072,,,,,
EU_CFSP-000039-1,GALONULAMIVEV SHIPPING,VESSEL,EU_-PROG,,EU_CFSP,39,,,CN,,,,,1000039,,
UK_OFSI-000018-1,IVAN LIZANAFIL,INDIVIDUAL,UK_-PROG,,UK_OFSI,18,1918-07-19,,IR,,P0000018,,,,,
UN_CONSOLIDATED-000139-0,MARIA HADIVASESEN,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,139,1969-08-28,,SY,,P0000139,,,,,
UN_CONSOLIDATED-000136-0,AHMED NABEGAZI,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,136,1966-05-25,,AE,,P0000136,,,,,
OFAC_SDN-000021-1,IVAN DOSUJOVOKE,INDIVIDUAL,OFA-PROG,,OFAC_SDN,21,1921-10-22,,IR,,P0000021,,,,,
OFAC_SDN-000063-0,WEI ZUZANUGUH,INDIVIDUAL,OFA-PROG,,OFAC_SDN,63,1963-04-08,,KP,,P0000063,,,,,
UN_CONSOLIDATED-000028-0,WEI LOKORIBO,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,28,1928-05-01,,BY,,P0000028,,,,,
UK_OFSI-000056-0,SERGEI VUMAKOCAJIJE,INDIVIDUAL,UK_-PROG,,UK_OFSI,56,1956-09-01,,CN,,P0000056,,,,,
UN_CONSOLIDATED-000044-0,SERGEI PUMIBOLACU,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,44,1944-09-17,,SY,,P0000044,,,,,
OFAC_SDN-000138-0,VOPURAVUKEC GLOBAL,AIRCRAFT,OFA-PROG,,OFAC_SDN,138,,,RU,,,,,,EP-00138,
OFAC_SDN-000165-0,WEI TAFECIPISAC,INDIVIDUAL,OFA-PROG,,OFAC_SDN,165,1925-10-26,,KP,,P0000165,,,,,
UK_OFSI-000012-1,MOVEJIJACIV GROUP,VESSEL,UK_-PROG,,UK_OFSI,12,,,RU,,,,,1000012,,
OFAC_SDN-000007-1,CHEN LUHUFIZUJEPE,INDIVIDUAL,OFA-PROG,,OFAC_SDN,7,1907-08-08,,RU,,,,,,,
UN_CONSOLIDATED-000082-0,JUNOZONETUNUL OCEAN,ENTITY,UN_-PROG,,UN_CONSOLIDATED,82,,,SY,,,,REG000082,,,
EU_CFSP-000157-0,MOHAMMED HOBEKEJA,INDIVIDUAL,EU_-PROG,,EU_CFSP,157,1917-02-18,,CN,,P0000157,,,,,
UN_CONSOLIDATED-000052-0,SANONIPEVAD HOLDINGS,ENTITY,UN_-PROG,,UN_CONSOLIDATED,52,,,AE,,,,REG000052,,,
UK_OFSI-000120-0,GAZUBUHOJ GROUP,ENTITY,UK_-PROG,,UK_OFSI,120,,,AE,,,,REG000120,,,
UK_OFSI-000003-1,IVAN COFODUMUPUD,INDIVIDUAL,UK_-PROG,,UK_OFSI,3,1903-04-04,,SY,,P0000003,,,,,
UK_OFSI-000112-0,HIDENAKIFEPE STAR,ENTITY,UK_-PROG,,UK_OFSI,112,,,KP,,,,REG000112,,,
UN_CONSOLIDATED-000096-0,ANNA JOJIMAJEFOKU,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,96,1926-01-13,,SY,,P0000096,,,,,
OFAC_SDN-000002-0,SETULAHONIGE SHIPPING,ENTITY,OFA-PROG,,OFAC_SDN,2,,,IR,,,,REG000002,,,
UK_OFSI-000130-1,ANNA NITIKAJEFEFEN,INDIVIDUAL,UK_-PROG,,UK_OFSI,130,1960-11-19,,IR,,P0000130,,,,,
EU_CFSP-000021-0,IVAN DOSUJOVOKE,INDIVIDUAL,EU_-PROG,,EU_CFSP,21,1921-10-22,,IR,,P0000021,,,,,
EU_CFSP-000133-0,IVAN LITECUKIV,INDIVIDUAL,EU_-PROG,,EU_CFSP,133,1963-02-22,,IR,,P0000133,,,,,
OFAC_SDN-000030-2,SERGEU LILEFENAHEV,INDIVIDUAL,OFA-PROG,,OFAC_SDN,30,1930-07-03,,VE,,P0000030,,,,,
EU_CFSP-000144-2,IVEN VAHIRERARI,INDIVIDUAL,EU_-PROG,,EU_CFSP,144,1904-01-05,,BY,,P0000144,,,,,
UK_OFSI-000032-1,MOHAMMED SUKUROTISICI,INDIVIDUAL,UK_-PROG,,UK_OFSI,32,1932-09-05,,SY,,,,,,,
UK_OFSI-000137-1,PEHOMIGEBURUN CAPITAL,ENTITY,UK_-PROG,,UK_OFSI,137,,,IR,,,,REG000137,,,
EU_CFSP-000022-1,SERGEI ZUNOZOTEVOK,INDIVIDUAL,EU_-PROG,,EU_CFSP,22,1922-11-23,,BY,,,,,,,
OFAC_SDN-000072-0,SERGEI CUGOPITAGUN,INDIVIDUAL,OFA-PROG,,OFAC_SDN,72,1902-01-17,,SY,,P0000072,,,,,
UK_OFSI-000069-0,TOHEDOCIJ TRADING,ENTITY,UK_-PROG,,UK_OFSI,69,,,CN,,,,REG000069,,,
UN_CONSOLIDATED-000027-0,BOVASITESE GLOBAL,ENTITY,UN_-PROG,,UN_CONSOLIDATED,27,,,BY,,,,REG000027,,,
UN_CONSOLIDATED-000162-0,WEI GOFUFIFAVEJI,INDIVIDUAL,UN_-PROG,,UN_CONSOLIDATED,162,1922-07-23,,RU,,P0000162,,,,,
OFAC_SDN-000060-1,CHEN DAZOTOCOJI,INDIVIDUAL,OFA-PROG,,OFAC_SDN,60,1960-01-05,,KP,,P0000060,,,,,
UK_OFSI-000123-0,GIDIDUJENODI CAPITAL,ENTITY,UK_-PROG,,UK_OFSI,123,,,RU,,,,REG000123,,,
